FK__Orders__ManagerI__1269A02C;Orders;ManagerId;Managers;ManagerID
FK__Orders__ManagerI__151102AD;Orders;ManagerIdForLastUpdate;Managers;ManagerID
FK__OrderMult__Manag__16651999;OrderMultiplePaymantTypes;ManagerId;Managers;ManagerID
FK_SoldRolls_Managers;SoldRolls;ManagerID;Managers;ManagerID
FK__BundlePar__Manag__210CC53E;BundleParentPallets;ManagerOfCreateId;Managers;ManagerID
FK__ImportVen__Manag__26C59E94;ImportVeneerPallets;ManagerOfImportId;Managers;ManagerID
FK__ImportVen__Manag__27B9C2CD;ImportVeneerPallets;ManagerOfLastUpdateId;Managers;ManagerID
FK__SortedVen__Manag__2E66C05C;SortedVeneerPallets;ManagerOfCreateId;Managers;ManagerID
FK__SortedVen__Manag__2F5AE495;SortedVeneerPallets;ManagerOfLastUpdateId;Managers;ManagerID
FK__Chronolog__Manag__31783731;ChronologyCostOfArticles;ManagerIdOfUpdate;Managers;ManagerID
FK__Unblockin__Creat__33366271;UnblockingOrders;CreateRequestManagerId;Managers;ManagerID
FK__ImportVen__Manag__341F99B2;ImportVeneerPalletBundles;ManagerOfCreateId;Managers;ManagerID
FK__Unblockin__Respo__342A86AA;UnblockingOrders;ResponsibleOfUnblockingOrderManagerId;Managers;ManagerID
FK__SalaryOfM__Manag__3791033A;SalaryOfManagerOfOrdersPlans;ManagerId;Managers;ManagerID
FK__HistoryOf__Creat__38EF3BC7;HistoryOfUnblockingOrders;CreateRequestManagerId;Managers;ManagerID
FK__HistoryOf__Respo__39E36000;HistoryOfUnblockingOrders;ResponsibleOfUnblockingOrderManagerId;Managers;ManagerID
FK__GoodsDire__Manag__3B219CFC;GoodsDirectories;ManagerCreateId;Managers;ManagerID
FK__RollDirec__Manag__3B56A726;RollDirectories;ManagerCreateId;Managers;ManagerID
FK__IpAddress__Manag__3DB3F0E4;IpAddressManagers;ManagerId;Managers;ManagerID
FK__Pallets__Manager__42D7CD5D;Pallets;ManagerIdOfImport;Managers;ManagerID
FK__Pallets__Manager__43CBF196;Pallets;ManagerIdOfLastUpdate;Managers;ManagerID
FK__HistoryRo__Manag__44E01160;HistoryRollDirectories;ManagerId;Managers;ManagerID
FK__SoldPalle__Manag__46A85E41;SoldPallets;ManagerIdOfImport;Managers;ManagerID
FK__SoldPalle__Manag__479C827A;SoldPallets;ManagerIdOfLastUpdate;Managers;ManagerID
FK__VeneerDir__Manag__47F18835;VeneerDirectories;ManagerCreateId;Managers;ManagerID
FK__HistoryGo__Manag__487B981A;HistoryGoodsDirectoryDetails;ManagerCreateId;Managers;ManagerID
FK__Rolls__ManagerId__4B6D135E;Rolls;ManagerIdOfLastUpdate;Managers;ManagerID
FK__HistoryRo__Manag__4B8D0EEF;HistoryRollDirectoryDetails;ManagerCreateId;Managers;ManagerID
FK__OrderAmou__Manag__4D0B430D;OrderAmountParts;ManagerId;Managers;ManagerID
FK__SoldRolls__Manag__4F3DA442;SoldRolls;ManagerIdOfLastUpdate;Managers;ManagerID
FK__HistoryVe__Manag__526F16A8;HistoryVeneerDirectories;ManagerId;Managers;ManagerID
FK__Boads__ManagerId__530E3526;Boads;ManagerIdOfLastUpdate;Managers;ManagerID
FK__SoldOther__Manag__53ED4AC6;SoldOtherGoods;ManagerCreateId;Managers;ManagerID
FK__SoldBoads__Manag__56DEC60A;SoldBoads;ManagerIdOfLastUpdate;Managers;ManagerID
FK__HistoryVe__Manag__5827EFFE;HistoryVeneerDirectoryDetails;ManagerCreateId;Managers;ManagerID
FK__OtherGood__Manag__5D76B500;OtherGoods;ManagerCreateId;Managers;ManagerID
FK__Chronolog__Manag__5FC911C6;ChronologyCostDetails;ManagerCreateId;Managers;ManagerID
FK__HistoryOt__Manag__6423B28F;HistoryOtherGoods;ManagerId;Managers;ManagerID
